assembly	biosample	coverage	organism	strain	human_related	collection_date	country	city	assembly_source	genome_size	gc_content	n_count	contig_count	longest_contig	N50	N95	busco_complete_perc	kraken2_taxid	kraken2_taxon_name	kraken2_taxid_freq	mlst	mlst_genes_detected	k_serotype	k_confidence	oc_serotype	oc_confidence	aminoglycoside	beta_lactam	colistin	fosfomycin	fusidicacid	glycopeptide	macrolide	misc	nitroimidazole	oxazolidinone	phenicol	pseudomonicacid	quinolone	rifampicin	sulphonamide	tetracycline	trimethoprim	carO	ISAba1	blaOXA51like	carbapenem	fluoroquinolone	crab	qc_pass	continent	region23	country_iso2c	serotype	collection_day	collection_year	filtered	city_pooled
GCA_025807115.1	SAMN31407614	58	Acinetobacter baumannii	NA	TRUE	2022	USA	NA	NCBI	4041927	0.39	0	101	364031	106578	13940	99.8	470	Acinetobacter baumannii	85.15	ST2	7	KL152	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaNDM-1|blaOXA-23|blaOXA-237|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	FALSE	TRUE	blaNDM-1|blaOXA-23-like|blaOXA-235-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL152	2022-08-18	2022	TRUE	other_country_outside_europe
GCA_025807135.1	SAMN31407613	70	Acinetobacter baumannii	NA	TRUE	2022	USA	NA	NCBI	4116063	0.39	0	66	339987	138791	24926	99.7	470	Acinetobacter baumannii	90.91	ST2	7	KL2	Very high	OCL1	Good	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	NA	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2022-10-25	2022	TRUE	other_country_outside_europe
GCA_025807155.1	SAMN31407615	60	Acinetobacter baumannii	NA	TRUE	2022	USA	NA	NCBI	3750752	0.39	0	145	138968	57161	8345	99.7	470	Acinetobacter baumannii	84.14	ST2	7	KL6	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL6	2022-06-01	2022	TRUE	other_country_outside_europe
GCA_025807175.1	SAMN31407618	58	Acinetobacter baumannii	NA	TRUE	2022	USA	NA	NCBI	4046409	0.389	0	83	292518	161936	17397	99.7	470	Acinetobacter baumannii	80.72	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2022-12-08	2022	TRUE	other_country_outside_europe
GCA_025807195.1	SAMN31407576	72	Acinetobacter baumannii	NA	TRUE	2022	USA	NA	NCBI	3942414	0.389	0	67	364357	122728	21206	99.7	470	Acinetobacter baumannii	89.55	ST2	7	KL34	Good	OCL1	Very high	aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-109|blaOXA-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L	TRUE	TRUE	Americas	Northern America	US	ST2-KL34	2022-04-16	2022	TRUE	other_country_outside_europe
GCA_025807215.1	SAMN31407575	71	Acinetobacter baumannii	NA	TRUE	2022	USA	NA	NCBI	4088011	0.389	0	75	319878	178442	21910	99.7	470	Acinetobacter baumannii	78.67	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2022-02-11	2022	TRUE	other_country_outside_europe
GCA_025807225.1	SAMN31407616	60	Acinetobacter baumannii	NA	TRUE	2022	USA	NA	NCBI	4093755	0.389	0	87	292518	161936	16035	99.7	470	Acinetobacter baumannii	80.46	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2022-08-08	2022	TRUE	other_country_outside_europe
GCA_025807255.1	SAMN31407617	62	Acinetobacter baumannii	NA	TRUE	2022	USA	NA	NCBI	4075444	0.389	0	86	293816	161936	17397	99.8	470	Acinetobacter baumannii	80.23	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2022-01-10	2022	TRUE	other_country_outside_europe
GCA_025807275.1	SAMN31407578	59	Acinetobacter baumannii	NA	TRUE	2022	USA	NA	NCBI	3831589	0.389	0	165	163220	47070	7886	99.8	470	Acinetobacter baumannii	89.7	ST2	7	KL6	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL6	2022-01-31	2022	TRUE	other_country_outside_europe
GCA_025807295.1	SAMN31407579	71	Acinetobacter baumannii	NA	TRUE	2022	USA	NA	NCBI	4131247	0.389	0	107	270125	103838	15459	99.7	470	Acinetobacter baumannii	83.18	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2022-05-02	2022	TRUE	other_country_outside_europe
GCA_025814855.1	SAMN31400860	112	Acinetobacter baumannii	2022GN-00389	TRUE	2022	USA	NA	NCBI	4112707	0.39	0	97	272749	151549	18086	99.8	470	Acinetobacter baumannii	86.6	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2022-09-14	2022	TRUE	other_country_outside_europe
GCF_000241725.1	SAMN02436013	32	Acinetobacter baumannii	AB5711	TRUE	2009	USA	NA	NCBI	4000401	0.391	2	45	497971	195433	29234	99.3	470	Acinetobacter baumannii	88.89	ST2	7	KL3	Very high	OCL1	Very high	aac(3)-Ia|aph(3'')-Ib|aph(3')-VIb|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaPER-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	NA	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL3	2009-10-05	2009	TRUE	other_country_outside_europe
GCF_000299655.1	SAMN02470994	338	Acinetobacter baumannii	ZWS1122	TRUE	2011-11	China	NA	NCBI	3937258	0.39	0	60	393068	129488	23335	99.8	470	Acinetobacter baumannii	91.67	ST2	7	KL34	Good	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL34	2011-11-10	2011	TRUE	other_country_outside_europe
GCF_000299675.1	SAMN02470995	248	Acinetobacter baumannii	ZWS1219	TRUE	2011-12	China	NA	NCBI	3964728	0.39	0	70	393524	133541	24168	99.8	470	Acinetobacter baumannii	78.57	ST2	7	KL34	Good	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL34	2011-12-28	2011	TRUE	other_country_outside_europe
GCF_000332855.1	SAMN02470882	112	Acinetobacter baumannii	53264	TRUE	2010	Denmark	copenhagen	NCBI	3976592	0.389	21	130	407048	92696	9092	99.7	470	Acinetobacter baumannii	68.46	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aac(6')-Iaf|aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Northern Europe	DK	ST2-KL2	2010-06-13	2010	TRUE	other_country_outside_europe
GCF_000359725.1	SAMN02470883	112	Acinetobacter baumannii	48055	TRUE	2010	Denmark	copenhagen	NCBI	4049562	0.39	10	135	328812	110982	9505	99.7	470	Acinetobacter baumannii	65.93	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aac(6')-Iaf|aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Northern Europe	DK	ST2-KL2	2010-02-15	2010	TRUE	other_country_outside_europe
GCF_000453065.1	SAMN02055522	61	Acinetobacter baumannii	TG22192	TRUE	2011	USA	NA	NCBI	3981420	0.39	0	139	350511	129726	13283	99.7	470	Acinetobacter baumannii	48.2	ST2	7	KL72	Very high	OCL1	Good	NA	blaADC-25|blaOXA-66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL72	2011-12-21	2011	TRUE	other_country_outside_europe
GCF_000453145.1	SAMN02055494	139	Acinetobacter baumannii	TG22202	TRUE	2009	USA	NA	NCBI	4209505	0.39	0	65	371055	158436	20747	99.7	470	Acinetobacter baumannii	89.23	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2009-07-24	2009	TRUE	other_country_outside_europe
GCF_000453285.1	SAMN02055532	76	Acinetobacter baumannii	TG27299	TRUE	2005	USA	NA	NCBI	4085375	0.39	0	138	186476	82934	14350	99.7	470	Acinetobacter baumannii	64.49	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	catB8	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL2	2005-11-19	2005	TRUE	other_country_outside_europe
GCF_000453365.1	SAMN02055536	32	Acinetobacter baumannii	TG27319	TRUE	2005	USA	NA	NCBI	4075702	0.389	74	84	366930	156312	11850	99.7	470	Acinetobacter baumannii	82.14	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-235|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-235-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2005-11-17	2005	TRUE	other_country_outside_europe
GCF_000453385.1	SAMN02055537	85	Acinetobacter baumannii	TG27371	TRUE	2005	USA	NA	NCBI	4087967	0.389	0	167	233412	133571	10411	99.7	470	Acinetobacter baumannii	64.67	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-235|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-235-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2005-11-01	2005	TRUE	other_country_outside_europe
GCF_000453405.1	SAMN02055538	91	Acinetobacter baumannii	TG27379	TRUE	2006	USA	NA	NCBI	4161888	0.392	0	84	365813	88669	14505	99.7	470	Acinetobacter baumannii	91.67	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-235|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-235-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2006-07-22	2006	TRUE	other_country_outside_europe
GCF_000453425.1	SAMN02055539	93	Acinetobacter baumannii	TG27383	TRUE	2006	USA	NA	NCBI	4024184	0.39	0	116	364335	136743	12628	99.7	470	Acinetobacter baumannii	62.93	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-235|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-235-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2006-06-20	2006	TRUE	other_country_outside_europe
GCF_000453525.1	SAMN02055544	60	Acinetobacter baumannii	TG27407	TRUE	2006	USA	NA	NCBI	4163950	0.392	1	94	287828	116028	11755	99.7	470	Acinetobacter baumannii	90.43	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-235|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-235-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2006-09-07	2006	TRUE	other_country_outside_europe
GCF_000453545.1	SAMN02055545	58	Acinetobacter baumannii	TG27411	TRUE	2006	USA	NA	NCBI	4156077	0.392	0	92	267969	102456	12146	99.7	470	Acinetobacter baumannii	86.96	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-235|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-235-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2006-08-20	2006	TRUE	other_country_outside_europe
GCF_000453845.1	SAMN02055509	140	Acinetobacter baumannii	TG2013	TRUE	2006	USA	NA	NCBI	4238575	0.39	2	77	365778	120616	17233	99.7	470	Acinetobacter baumannii	89.61	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|armA	blaADC-25|blaOXA-235|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-235-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2006-08-18	2006	TRUE	other_country_outside_europe
GCF_000453865.1	SAMN02055510	116	Acinetobacter baumannii	TG2014	TRUE	2006	USA	NA	NCBI	4231166	0.39	76	64	364828	160555	19730	99.7	470	Acinetobacter baumannii	95.31	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-235|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1|sul2	NA	NA	TRUE	TRUE	TRUE	blaOXA-235-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2006-08-12	2006	TRUE	other_country_outside_europe
GCF_000453925.1	SAMN02055515	75	Acinetobacter baumannii	TG22110	TRUE	2011	USA	NA	NCBI	3980727	0.39	0	62	372389	136379	22876	99.7	470	Acinetobacter baumannii	91.94	ST2	7	KL72	Very high	OCL1	Good	aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL72	2011-01-07	2011	TRUE	other_country_outside_europe
GCF_000513795.2	SAMN02597422	437.5	Acinetobacter baumannii	UH0207	TRUE	2007-09	USA	NA	NCBI	3795828	0.39	0	86	235458	118647	20231	99.1	470	Acinetobacter baumannii	73.26	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-82	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL2	2007-09-04	2007	TRUE	other_country_outside_europe
GCF_000515435.1	SAMN02597420	92.4	Acinetobacter baumannii	UH0807	TRUE	2007-09	USA	NA	NCBI	4047978	0.39	0	234	178463	82439	7647	99.5	470	Acinetobacter baumannii	75.64	ST2	7	KL9	Very high	OCL1	Good	aac(3)-IIa|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-82	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL9	2007-09-25	2007	TRUE	other_country_outside_europe
GCF_000515455.1	SAMN02597419	153.3	Acinetobacter baumannii	UH1007	TRUE	2007-09	USA	NA	NCBI	3991784	0.391	0	122	353892	146970	10426	99.7	470	Acinetobacter baumannii	63.11	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL2	2007-09-17	2007	TRUE	other_country_outside_europe
GCF_000515475.1	SAMN02597418	237.7	Acinetobacter baumannii	UH10007	TRUE	2007-12	USA	NA	NCBI	4105459	0.388	0	234	364305	117233	8817	99.5	470	Acinetobacter baumannii	57.69	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2007-12-17	2007	TRUE	other_country_outside_europe
GCF_000515495.1	SAMN02597421	93.6	Acinetobacter baumannii	UH0707	TRUE	2007-09	USA	NA	NCBI	4043283	0.39	0	227	158155	80335	5486	99.3	470	Acinetobacter baumannii	75.77	ST2	7	KL9	Very high	OCL1	Good	aac(3)-IIa|aph(3'')-Ib|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-82	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL9	2007-09-17	2007	TRUE	other_country_outside_europe
GCF_000515515.1	SAMN02597417	179.5	Acinetobacter baumannii	UH10107	TRUE	2007-12	USA	NA	NCBI	4006405	0.389	0	84	364297	164080	14242	99.8	470	Acinetobacter baumannii	70.24	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2007-12-04	2007	TRUE	other_country_outside_europe
GCF_000515535.1	SAMN02597423	165	Acinetobacter baumannii	UH10707	TRUE	2007-12	USA	NA	NCBI	4004417	0.391	0	166	206361	107133	9548	99.6	470	Acinetobacter baumannii	71.69	ST2	7	KL9	Very high	OCL1	Good	aac(3)-IIa|aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL9	2007-12-16	2007	TRUE	other_country_outside_europe
GCF_000515555.1	SAMN02597416	120.9	Acinetobacter baumannii	UH11608	TRUE	2008-01	USA	NA	NCBI	3886470	0.389	0	80	364280	146192	26709	99.8	470	Acinetobacter baumannii	70	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-82	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Americas	Northern America	US	ST2-KL2	2008-01-06	2008	TRUE	other_country_outside_europe
GCF_000515595.1	SAMN02597414	112.9	Acinetobacter baumannii	UH12308	TRUE	2008-01	USA	NA	NCBI	3965931	0.39	0	110	284136	124744	18124	99.7	470	Acinetobacter baumannii	60.91	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL2	2008-01-09	2008	TRUE	other_country_outside_europe
GCF_000515615.1	SAMN02597413	186.6	Acinetobacter baumannii	UH12408	TRUE	2008-01	USA	NA	NCBI	3856072	0.39	0	94	267807	140943	20200	99.7	470	Acinetobacter baumannii	63.83	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL2	2008-01-27	2008	TRUE	other_country_outside_europe
GCF_000515635.1	SAMN02597412	545.4	Acinetobacter baumannii	UH12808	TRUE	2008-01	USA	NA	NCBI	3872609	0.39	0	117	237392	132589	13669	99.7	470	Acinetobacter baumannii	61.54	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL2	2008-01-30	2008	TRUE	other_country_outside_europe
GCF_000515655.1	SAMN02597411	208.4	Acinetobacter baumannii	UH13908	TRUE	2008-02	USA	NA	NCBI	3781356	0.39	0	62	364304	164084	31881	99.5	470	Acinetobacter baumannii	70.97	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-82	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Americas	Northern America	US	ST2-KL2	2008-02-13	2008	TRUE	other_country_outside_europe
